date,PortfolioValue_copy,PortfolioValue_copy_scaled,PortfolioValue_fund
2023-04-24 00:00:00+00:00,2784442.3469735137,3001970.044881093,2948173.779798997
2023-04-25 00:00:00+00:00,2763106.088937841,2978831.7725008093,2922838.3325867034
2023-04-26 00:00:00+00:00,2738921.9931814834,2952605.140166972,2899667.552507
2023-04-27 00:00:00+00:00,2776264.549060272,2993101.5677905395,2937846.978767165
2023-04-28 00:00:00+00:00,2800390.233280223,3019264.855275562,2962525.9949636376
2023-05-01 00:00:00+00:00,2808009.929768663,3027528.094898454,2969389.704375311
2023-05-02 00:00:00+00:00,2771534.9372797743,2987972.503197901,2931939.8417055206
2023-05-03 00:00:00+00:00,2754848.622967577,2969876.8987609316,2915430.424184209
2023-05-04 00:00:00+00:00,2740940.3283086084,2954793.939526636,2900751.4329543975
2023-05-05 00:00:00+00:00,2770215.591029289,2986541.727808112,2930582.9310960392
2023-05-08 00:00:00+00:00,2770474.3316468294,2986822.3211002667,2931674.1967239403
2023-05-09 00:00:00+00:00,2762997.153498932,2978713.636609636,2922836.0654231557
2023-05-10 00:00:00+00:00,2762997.153498932,2978713.636609636,2930423.1443734034
2023-05-11 00:00:00+00:00,2760029.31241909,2975492.9635738763,2927411.0387126044
2023-05-12 00:00:00+00:00,2763634.090408685,2979404.834512601,2931339.331522886
2023-05-15 00:00:00+00:00,2765016.8262160034,2980905.3663168326,2932507.0594222867
2023-05-16 00:00:00+00:00,2744935.0383005687,2959112.8002362675,2912228.905394882
2023-05-17 00:00:00+00:00,2775607.272125354,2992398.017931025,2943361.684011766
2023-05-18 00:00:00+00:00,2787723.761414099,3005546.717369609,2955934.7636764175
2023-05-19 00:00:00+00:00,2790424.883835841,3008477.9498433,2958814.8597544176
2023-05-22 00:00:00+00:00,2788903.111665574,3006826.5370946066,2956648.513297642
2023-05-23 00:00:00+00:00,2765583.7019699146,2981520.5345169255,2930878.7742223716
2023-05-24 00:00:00+00:00,2744048.12107968,2958150.3260668563,2908638.512352542
2023-05-25 00:00:00+00:00,2742818.9911636016,2956816.4859212204,2907338.9286031406
2023-05-26 00:00:00+00:00,2772509.126781084,2989035.9399414295,2937947.5122954347
2023-05-30 00:00:00+00:00,2761987.4343767953,2977617.898979867,2926913.3184521277
2023-05-31 00:00:00+00:00,2748798.6444668365,2963305.549061334,2913188.6295594615
2023-06-01 00:00:00+00:00,2768571.7826094716,2984763.1713312287,2934377.300355408
2023-06-02 00:00:00+00:00,2814232.4930618666,3034313.7419283106,2982098.4724940904
2023-06-05 00:00:00+00:00,2806907.758206403,3026365.00902502,2974916.7964278725
2023-06-06 00:00:00+00:00,2806295.0077352226,3025700.0580161596,2973668.9009881555
2023-06-07 00:00:00+00:00,2815076.0018833573,3035229.109713753,2981157.7138422267
2023-06-08 00:00:00+00:00,2821789.71247716,3042514.764874407,2989022.7234320748
2023-06-09 00:00:00+00:00,2823005.072456066,3043833.662014617,2990778.982406847
2023-06-12 00:00:00+00:00,2841765.9720970667,3064192.812647969,3009920.4850647403
2023-06-13 00:00:00+00:00,2855368.6781515046,3078954.3404468964,3023578.129480825
2023-06-14 00:00:00+00:00,2847649.2597626657,3070577.300710658,3016246.711341875
2023-06-15 00:00:00+00:00,2883740.993567224,3109743.7084633014,3054711.53642274
2023-06-16 00:00:00+00:00,2872225.251297885,3097246.934001379,3042283.066901176
2023-06-20 00:00:00+00:00,2856560.15020538,3080247.314637071,3026266.344401562
2023-06-21 00:00:00+00:00,2855836.0524879736,3079461.530651013,3025552.3057810613
2023-06-22 00:00:00+00:00,2855682.45503864,3079294.848153494,3026332.9998520426
2023-06-23 00:00:00+00:00,2839538.6111893957,3061775.7016830444,3009308.798953701
2023-06-26 00:00:00+00:00,2838081.071195025,3060193.9930833844,3006700.500626464
2023-06-27 00:00:00+00:00,2858557.9466609494,3082415.3044324447,3028588.8989361967
2023-06-28 00:00:00+00:00,2852983.839053093,3076366.3356406256,3022522.8021033066
2023-06-29 00:00:00+00:00,2878051.7585418145,3103569.8044881565,3048861.223072708
2023-06-30 00:00:00+00:00,2905158.0805157092,3132985.328409867,3048861.223072708
2023-07-03 00:00:00+00:00,2899817.999305622,3127190.322848786,3041581.033605749
2023-07-05 00:00:00+00:00,2888501.4665534804,3114909.728668504,3030949.677306223
2023-07-06 00:00:00+00:00,2873514.800717824,3098646.340820459,3015842.7723503117
2023-07-07 00:00:00+00:00,2863182.6293072654,3087433.9662466166,3003435.0777927255
2023-07-10 00:00:00+00:00,2884403.1875594687,3110462.3151130127,3023942.2664574487
2023-07-11 00:00:00+00:00,2900639.887922417,3128082.2285928247,3040406.8604415264
2023-07-12 00:00:00+00:00,2907316.29181725,3135327.3988770344,3046998.7903766027
2023-07-13 00:00:00+00:00,2901909.486233379,3129459.984657372,3042852.1313689835
2023-07-14 00:00:00+00:00,2910861.201492187,3139174.301287617,3053181.2774962056
2023-07-17 00:00:00+00:00,2924017.2213147036,3153451.0894175754,3065969.066444136
2023-07-18 00:00:00+00:00,2937238.70400706,3167798.9172339807,3081192.1349316463
2023-07-19 00:00:00+00:00,2937081.490740011,3167628.310885317,3080525.7868262073
2023-07-20 00:00:00+00:00,2955242.803341904,3187336.795341641,3101421.252384226
2023-07-21 00:00:00+00:00,2967282.719479295,3200402.3983214884,3112908.39252558
2023-07-24 00:00:00+00:00,2975500.3397588986,3209320.082031843,3121142.345582177
2023-07-25 00:00:00+00:00,2979657.9969798885,3213831.9322769656,3125047.5056208395
2023-07-26 00:00:00+00:00,2982111.086160212,3216494.00142583,3128963.653606262
2023-07-27 00:00:00+00:00,2955379.3529032976,3187484.977632604,3100381.2336316775
2023-07-28 00:00:00+00:00,2961342.641238251,3193956.2816641075,3106376.1225701594
2023-07-31 00:00:00+00:00,2959301.6370340767,3191741.403229105,3103925.4845216135
2023-08-01 00:00:00+00:00,2963456.60719694,3196250.3375041946,3106785.6379820392
2023-08-02 00:00:00+00:00,2939230.622138181,3169960.527927328,3082707.0096766893
2023-08-03 00:00:00+00:00,2927749.63206175,3157501.466216063,3071395.9434498535
2023-08-04 00:00:00+00:00,2911743.3844564185,3140131.637886536,3055023.330036531
2023-08-07 00:00:00+00:00,2937629.1054079556,3168222.5771373115,3082533.876558032
2023-08-08 00:00:00+00:00,2928484.07359295,3158298.4752108986,3074754.5902678138
2023-08-09 00:00:00+00:00,2923880.001448996,3153302.1797187184,3071762.0864346204
2023-08-10 00:00:00+00:00,2924848.4548968375,3154353.136229509,3073217.7039070376
2023-08-11 00:00:00+00:00,2932881.180083198,3163070.1735355477,3082634.874313855
2023-08-14 00:00:00+00:00,2932881.180083198,3163070.1735355477,3088414.9373285016
2023-08-15 00:00:00+00:00,2907582.7764611878,3135610.1628268147,3061890.1644048607
2023-08-16 00:00:00+00:00,2906232.8804845656,3134144.9257894284,3059896.4991200124
2023-08-17 00:00:00+00:00,2890964.7511224006,3117572.220173229,3043919.289841296
2023-08-18 00:00:00+00:00,2891119.1901112436,3117739.8551098374,3044107.1953278547
2023-08-21 00:00:00+00:00,2896149.3486936926,3123199.8126077284,3049269.1965546655
2023-08-22 00:00:00+00:00,2889258.3853364834,3115720.054975203,3041855.665847984
2023-08-23 00:00:00+00:00,2909699.722182576,3137907.989719281,3063300.1238787766
2023-08-24 00:00:00+00:00,2888721.4682756616,3115137.2613546974,3041197.0928180516
2023-08-25 00:00:00+00:00,2907389.0753706307,3135399.911061507,3060736.446951827
2023-08-28 00:00:00+00:00,2922151.044967783,3151423.2083919016,3076323.0562815857
2023-08-29 00:00:00+00:00,2946623.7142018424,3177986.930327853,3101889.780128658
2023-08-30 00:00:00+00:00,2953641.1309662126,3185603.9461038844,3108986.4559506113
2023-08-31 00:00:00+00:00,2944327.230773864,3175494.225235985,3099160.041304865
