date,PortfolioValue
2014-07-07 00:00:00+00:00,1170420.9050910496
2014-07-08 00:00:00+00:00,1165834.3840509932
2014-07-09 00:00:00+00:00,1172009.7752750837
2014-07-10 00:00:00+00:00,1171949.4661747385
2014-07-11 00:00:00+00:00,1173246.41889978
2014-07-14 00:00:00+00:00,1176520.5082963917
2014-07-15 00:00:00+00:00,1177773.5179071901
2014-07-16 00:00:00+00:00,1183983.5455919453
2014-07-17 00:00:00+00:00,1172339.372840906
2014-07-18 00:00:00+00:00,1181002.821513792
2014-07-21 00:00:00+00:00,1178439.1317670378
2014-07-22 00:00:00+00:00,1185732.4616645426
2014-07-23 00:00:00+00:00,1190936.003279233
2014-07-24 00:00:00+00:00,1184180.0664632004
2014-07-25 00:00:00+00:00,1183884.1692727571
2014-07-28 00:00:00+00:00,1180896.8912145686
2014-07-29 00:00:00+00:00,1174987.5596997042
2014-07-30 00:00:00+00:00,1173847.7309488656
2014-07-31 00:00:00+00:00,1159919.8357979597
2014-08-01 00:00:00+00:00,1158315.0264380337
2014-08-04 00:00:00+00:00,1160781.517472036
2014-08-05 00:00:00+00:00,1152982.1329843444
2014-08-06 00:00:00+00:00,1153840.3487166888
2014-08-07 00:00:00+00:00,1149313.92148999
2014-08-08 00:00:00+00:00,1157087.7160908976
2014-08-11 00:00:00+00:00,1160209.472788546
2014-08-12 00:00:00+00:00,1157490.3924432134
2014-08-13 00:00:00+00:00,1163752.4637558595
2014-08-14 00:00:00+00:00,1163752.4637558595
2014-08-15 00:00:00+00:00,1163097.1297331639
2014-08-18 00:00:00+00:00,1177399.2755383032
2014-08-19 00:00:00+00:00,1180427.1930111835
2014-08-20 00:00:00+00:00,1183714.7058659869
2014-08-21 00:00:00+00:00,1181489.2798391087
2014-08-22 00:00:00+00:00,1180387.8953800672
2014-08-25 00:00:00+00:00,1183289.2580332318
2014-08-26 00:00:00+00:00,1184285.760479194
2014-08-27 00:00:00+00:00,1183414.3956681741
2014-08-28 00:00:00+00:00,1181767.054063145
2014-08-29 00:00:00+00:00,1182981.7159145907
2014-09-02 00:00:00+00:00,1190921.809950953
2014-09-03 00:00:00+00:00,1183293.342158713
2014-09-04 00:00:00+00:00,1181634.8249509013
2014-09-05 00:00:00+00:00,1181627.1293030963
2014-09-08 00:00:00+00:00,1178307.787098955
2014-09-09 00:00:00+00:00,1171605.724001061
2014-09-10 00:00:00+00:00,1180658.8177936117
2014-09-11 00:00:00+00:00,1183000.0337521874
2014-09-12 00:00:00+00:00,1175891.9084060667
2014-09-15 00:00:00+00:00,1170720.030334595
2014-09-16 00:00:00+00:00,1177654.5663845048
2014-09-17 00:00:00+00:00,1174965.9457957675
2014-09-18 00:00:00+00:00,1181796.708315175
2014-09-19 00:00:00+00:00,1175749.005750951
2014-09-22 00:00:00+00:00,1162373.2191161897
2014-09-23 00:00:00+00:00,1159192.3468269228
2014-09-24 00:00:00+00:00,1164992.3878686498
2014-09-25 00:00:00+00:00,1148379.7258696652
2014-09-26 00:00:00+00:00,1156444.956948619
2014-09-29 00:00:00+00:00,1147620.860548893
2014-09-30 00:00:00+00:00,1143332.4411885333
2014-10-01 00:00:00+00:00,1127098.8931455736
2014-10-02 00:00:00+00:00,1129689.8418902308
2014-10-03 00:00:00+00:00,1145000.0071664187
2014-10-06 00:00:00+00:00,1139754.6352827712
2014-10-07 00:00:00+00:00,1122203.4948021183
2014-10-08 00:00:00+00:00,1125456.214766358
2014-10-09 00:00:00+00:00,1102684.6790682708
2014-10-10 00:00:00+00:00,1083990.16958636
2014-10-13 00:00:00+00:00,1060056.1635967977
2014-10-14 00:00:00+00:00,1074346.0099982545
2014-10-15 00:00:00+00:00,1068085.5539941508
2014-10-16 00:00:00+00:00,1079476.059625456
2014-10-17 00:00:00+00:00,1092828.4170478487
2014-10-20 00:00:00+00:00,1106488.0414373837
2014-10-21 00:00:00+00:00,1131189.2812902895
2014-10-22 00:00:00+00:00,1124794.538816022
2014-10-23 00:00:00+00:00,1136477.9845305732
2014-10-24 00:00:00+00:00,1141003.563608544
2014-10-27 00:00:00+00:00,1134712.0385084478
2014-10-28 00:00:00+00:00,1149507.0341971265
2014-10-29 00:00:00+00:00,1146194.1692439988
2014-10-30 00:00:00+00:00,1147346.2240139684
2014-10-31 00:00:00+00:00,1162389.1226613405
2014-11-03 00:00:00+00:00,1163684.337342631
2014-11-04 00:00:00+00:00,1160173.3692027475
2014-11-05 00:00:00+00:00,1161711.357023324
2014-11-06 00:00:00+00:00,1174118.5355400033
2014-11-07 00:00:00+00:00,1171825.8188830884
2014-11-10 00:00:00+00:00,1173140.2337832302
2014-11-11 00:00:00+00:00,1175180.9031265336
2014-11-12 00:00:00+00:00,1173174.2714000726
2014-11-13 00:00:00+00:00,1178738.948284953
2014-11-14 00:00:00+00:00,1178738.948284953
2014-11-17 00:00:00+00:00,1175858.4673392153
2014-11-18 00:00:00+00:00,1184889.3880027067
2014-11-19 00:00:00+00:00,1181985.568606951
2014-11-20 00:00:00+00:00,1186264.1154292494
2014-11-21 00:00:00+00:00,1189590.1046074005
2014-11-24 00:00:00+00:00,1193890.3065752024
2014-11-25 00:00:00+00:00,1194131.698711624
2014-11-26 00:00:00+00:00,1193798.880151706
2014-11-28 00:00:00+00:00,1199940.8028213761
2014-12-01 00:00:00+00:00,1186889.6284524938
2014-12-02 00:00:00+00:00,1189366.950637328
2014-12-03 00:00:00+00:00,1197748.9795319526
2014-12-04 00:00:00+00:00,1202411.4985318873
2014-12-05 00:00:00+00:00,1211630.4484085126
2014-12-08 00:00:00+00:00,1203329.1361392434
2014-12-09 00:00:00+00:00,1201167.9617140668
2014-12-10 00:00:00+00:00,1187785.7193933462
2014-12-11 00:00:00+00:00,1195510.9118676195
2014-12-12 00:00:00+00:00,1181198.3009946244
2014-12-15 00:00:00+00:00,1178304.1293462245
2014-12-16 00:00:00+00:00,1161021.1217967821
2014-12-17 00:00:00+00:00,1179755.875369668
2014-12-18 00:00:00+00:00,1196014.2462553636
2014-12-19 00:00:00+00:00,1205273.5523336078
2014-12-22 00:00:00+00:00,1207626.2554211686
2014-12-23 00:00:00+00:00,1209184.3663009026
2014-12-24 00:00:00+00:00,1212027.890908048
2014-12-26 00:00:00+00:00,1216285.153701515
2014-12-29 00:00:00+00:00,1221024.0050849167
2014-12-30 00:00:00+00:00,1221579.4321685731
2014-12-31 00:00:00+00:00,1216733.0257737022
2015-01-02 00:00:00+00:00,1216579.8482285133
2015-01-05 00:00:00+00:00,1199433.016043649
2015-01-06 00:00:00+00:00,1192661.3316221442
2015-01-07 00:00:00+00:00,1203961.547793278
2015-01-08 00:00:00+00:00,1220961.1108110556
2015-01-09 00:00:00+00:00,1210144.8890752504
2015-01-12 00:00:00+00:00,1200866.5757965562
2015-01-13 00:00:00+00:00,1195494.3495068706
2015-01-14 00:00:00+00:00,1183910.422136984
2015-01-15 00:00:00+00:00,1168766.3377669617
2015-01-16 00:00:00+00:00,1179967.9455143677
2015-01-20 00:00:00+00:00,1185904.8525934
2015-01-21 00:00:00+00:00,1193844.342064002
2015-01-22 00:00:00+00:00,1209511.7694221037
2015-01-23 00:00:00+00:00,1204374.709797257
2015-01-26 00:00:00+00:00,1214397.610655116
2015-01-27 00:00:00+00:00,1201988.4873707835
